32009,Bryceville,Florida ,NASSAU,12,089,FL 
32812,Orlando,Florida ,ORANGE,12,095,FL 
32817,Orlando,Florida ,ORANGE,12,095,FL 
32816,Orlando,Florida ,ORANGE,12,095,FL 
32814,Orlando,Florida ,ORANGE,12,095,FL 
32818,Orlando,Florida ,ORANGE,12,095,FL 
32815,Orlando,Florida ,BREVARD,12,009,FL 
32819,Orlando,Florida ,ORANGE,12,095,FL 
32820,Orlando,Florida ,ORANGE,12,095,FL 
32821,Orlando,Florida ,ORANGE,12,095,FL 
32822,Orlando,Florida ,ORANGE,12,095,FL 
32825,Orlando,Florida ,ORANGE,12,095,FL 
32830,Orlando,Florida ,ORANGE,12,095,FL 
32824,Orlando,Florida ,ORANGE,12,095,FL 
32826,Orlando,Florida ,ORANGE,12,095,FL 
32827,Orlando,Florida ,ORANGE,12,095,FL 
32829,Orlando,Florida ,ORANGE,12,095,FL 
32828,Orlando,Florida ,ORANGE,12,095,FL 
32831,Orlando,Florida ,ORANGE,12,095,FL 
32837,Orlando,Florida ,ORANGE,12,095,FL 
32839,Orlando,Florida ,ORANGE,12,095,FL 
32834,Orlando,Florida ,ORANGE,12,095,FL 
32836,Orlando,Florida ,ORANGE,12,095,FL 
32833,Orlando,Florida ,ORANGE,12,095,FL 
32835,Orlando,Florida ,ORANGE,12,095,FL 
32853,Orlando,Florida ,ORANGE,12,095,FL 
32832,Orlando,Florida ,ORANGE,12,095,FL 
32855,Orlando,Florida ,ORANGE,12,095,FL 
32856,Orlando,Florida ,ORANGE,12,095,FL 
32860,Orlando,Florida ,ORANGE,12,095,FL 
32857,Orlando,Florida ,ORANGE,12,095,FL 
32859,Orlando,Florida ,ORANGE,12,095,FL 
32858,Orlando,Florida ,ORANGE,12,095,FL 
32854,Orlando,Florida ,ORANGE,12,095,FL 
32861,Orlando,Florida ,ORANGE,12,095,FL 
32862,Orlando,Florida ,ORANGE,12,095,FL 
32867,Orlando,Florida ,ORANGE,12,095,FL 
32868,Orlando,Florida ,ORANGE,12,095,FL 
32869,Orlando,Florida ,ORANGE,12,095,FL 
32878,Orlando,Florida ,ORANGE,12,095,FL 
32872,Orlando,Florida ,ORANGE,12,095,FL 
32877,Orlando,Florida ,ORANGE,12,095,FL 
32885,Orlando,Florida ,ORANGE,12,095,FL 
32886,Orlando,Florida ,ORANGE,12,095,FL 
32887,Orlando,Florida ,ORANGE,12,095,FL 
32897,Orlando,Florida ,ORANGE,12,095,FL 
32891,Orlando,Florida ,ORANGE,12,095,FL 
32901,Melbourne,Florida ,BREVARD,12,009,FL 
32902,Melbourne,Florida ,BREVARD,12,009,FL 
32896,Orlando,Florida ,ORANGE,12,095,FL 
32899,Orlando,Florida ,BREVARD,12,009,FL 
32903,Indialantic,Florida ,BREVARD,12,009,FL 
32904,Melbourne,Florida ,BREVARD,12,009,FL 
32907,Palm Bay,Florida ,BREVARD,12,009,FL 
32905,Palm Bay,Florida ,BREVARD,12,009,FL 
32909,Palm Bay,Florida ,BREVARD,12,009,FL 
32906,Palm Bay,Florida ,BREVARD,12,009,FL 
32908,Palm Bay,Florida ,BREVARD,12,009,FL 
32910,Palm Bay,Florida ,BREVARD,12,009,FL 
32911,Palm Bay,Florida ,BREVARD,12,009,FL 
32912,Melbourne,Florida ,BREVARD,12,009,FL 
32920,Cape Canaveral,Florida ,BREVARD,12,009,FL 
32924,Cocoa,Florida ,BREVARD,12,009,FL 
32925,Patrick AFB,Florida ,BREVARD,12,009,FL 
32923,Cocoa,Florida ,BREVARD,12,009,FL 
32922,Cocoa,Florida ,BREVARD,12,009,FL 
32919,Melbourne,Florida ,BREVARD,12,009,FL 
32926,Cocoa,Florida ,BREVARD,12,009,FL 
32927,Cocoa,Florida ,BREVARD,12,009,FL 
32937,Satellite Beach,Florida ,BREVARD,12,009,FL 
32934,Melbourne,Florida ,BREVARD,12,009,FL 
32932,Cocoa Beach,Florida ,BREVARD,12,009,FL 
32931,Cocoa Beach,Florida ,BREVARD,12,009,FL 
32936,Melbourne,Florida ,BREVARD,12,009,FL 
32935,Melbourne,Florida ,BREVARD,12,009,FL 
32940,Melbourne,Florida ,BREVARD,12,009,FL 
32941,Melbourne,Florida ,BREVARD,12,009,FL 
32951,Melbourne Beach,Florida ,BREVARD,12,009,FL 
32950,Malabar,Florida ,BREVARD,12,009,FL 
32948,Fellsmere,Florida ,INDIAN RIVER,12,061,FL 
32949,Grant,Florida ,BREVARD,12,009,FL 
32952,Merritt Island,Florida ,BREVARD,12,009,FL 
32953,Merritt Island,Florida ,BREVARD,12,009,FL 
32955,Rockledge,Florida ,BREVARD,12,009,FL 
32954,Merritt Island,Florida ,BREVARD,12,009,FL 
32957,Roseland,Florida ,INDIAN RIVER,12,061,FL 
32956,Rockledge,Florida ,BREVARD,12,009,FL 
32958,Sebastian,Florida ,INDIAN RIVER,12,061,FL 
32959,Sharpes,Florida ,BREVARD,12,009,FL 
32962,Vero Beach,Florida ,INDIAN RIVER,12,061,FL 
32960,Vero Beach,Florida ,INDIAN RIVER,12,061,FL 
32963,Vero Beach,Florida ,INDIAN RIVER,12,061,FL 
32961,Vero Beach,Florida ,INDIAN RIVER,12,061,FL 
32964,Vero Beach,Florida ,INDIAN RIVER,12,061,FL 
32967,Vero Beach,Florida ,INDIAN RIVER,12,061,FL 
32971,Winter Beach,Florida ,INDIAN RIVER,12,061,FL 
32965,Vero Beach,Florida ,INDIAN RIVER,12,061,FL 
32970,Wabasso,Florida ,INDIAN RIVER,12,061,FL 
32969,Vero Beach,Florida ,INDIAN RIVER,12,061,FL 
32968,Vero Beach,Florida ,INDIAN RIVER,12,061,FL 
32966,Vero Beach,Florida ,INDIAN RIVER,12,061,FL 
32976,Sebastian,Florida ,BREVARD,12,009,FL 
33001,Long Key,Florida ,MONROE,12,087,FL 
32978,Sebastian,Florida ,INDIAN RIVER,12,061,FL 
33002,Hialeah,Florida ,MIAMI-DADE,12,086,FL 
33004,Dania,Florida ,BROWARD,12,011,FL 
33009,Hallandale,Florida ,BROWARD,12,011,FL 
33010,Hialeah,Florida ,MIAMI-DADE,12,086,FL 
33008,Hallandale,Florida ,BROWARD,12,011,FL 
33011,Hialeah,Florida ,MIAMI-DADE,12,086,FL 
33014,Hialeah,Florida ,MIAMI-DADE,12,086,FL 
33013,Hialeah,Florida ,MIAMI-DADE,12,086,FL 
33012,Hialeah,Florida ,MIAMI-DADE,12,086,FL 
33018,Hialeah,Florida ,MIAMI-DADE,12,086,FL 
33019,Hollywood,Florida ,BROWARD,12,011,FL 
33017,Hialeah,Florida ,MIAMI-DADE,12,086,FL 
33015,Hialeah,Florida ,MIAMI-DADE,12,086,FL 
33016,Hialeah,Florida ,MIAMI-DADE,12,086,FL 
33020,Hollywood,Florida ,BROWARD,12,011,FL 
33025,Hollywood,Florida ,BROWARD,12,011,FL 
33021,Hollywood,Florida ,BROWARD,12,011,FL 
33024,Hollywood,Florida ,BROWARD,12,011,FL 
33023,Hollywood,Florida ,BROWARD,12,011,FL 
33026,Hollywood,Florida ,BROWARD,12,011,FL 
33022,Hollywood,Florida ,BROWARD,12,011,FL 
33026,Hollywood,Florida ,BROWARD,12,011,FL 
33027,Hollywood,Florida ,BROWARD,12,011,FL 
33033,Homestead,Florida ,MIAMI-DADE,12,086,FL 
33029,Hollywood,Florida ,BROWARD,12,011,FL 
33030,Homestead,Florida ,MIAMI-DADE,12,086,FL 
33031,Homestead,Florida ,MIAMI-DADE,12,086,FL 
33028,Pembroke Pines,Florida ,BROWARD,12,011,FL 
33032,Homestead,Florida ,MIAMI-DADE,12,086,FL 
33034,Homestead,Florida ,MIAMI-DADE,12,086,FL 
33035,Homestead,Florida ,MIAMI-DADE,12,086,FL 
33043,Big Pine Key,Florida ,MONROE,12,087,FL 
33042,Summerland Key,Florida ,MONROE,12,087,FL 
33041,Key West,Florida ,MONROE,12,087,FL 
33037,Key Largo,Florida ,MONROE,12,087,FL 
33040,Key West,Florida ,MONROE,12,087,FL 
33036,Islamorada,Florida ,MONROE,12,087,FL 
33039,Homestead,Florida ,MIAMI-DADE,12,086,FL 
33045,Key West,Florida ,MONROE,12,087,FL 
33050,Marathon,Florida ,MONROE,12,087,FL 
33052,Marathon Shores,Florida ,MONROE,12,087,FL 
33051,Key Colony Beach,Florida ,MONROE,12,087,FL 
33060,Pompano Beach,Florida ,BROWARD,12,011,FL 
33061,Pompano Beach,Florida ,BROWARD,12,011,FL 
33054,Opa Locka,Florida ,MIAMI-DADE,12,086,FL 
33055,Opa Locka,Florida ,MIAMI-DADE,12,086,FL 
33056,Miami Gardens,Florida ,MIAMI-DADE,12,086,FL 
33062,Pompano Beach,Florida ,BROWARD,12,011,FL 
33063,Pompano Beach,Florida ,BROWARD,12,011,FL 
33066,Pompano Beach,Florida ,BROWARD,12,011,FL 
33065,Coral Springs,Florida ,BROWARD,12,011,FL 
33068,Pompano Beach,Florida ,BROWARD,12,011,FL 
33064,Pompano Beach,Florida ,BROWARD,12,011,FL 
33067,Pompano Beach,Florida ,BROWARD,12,011,FL 
33069,Pompano Beach,Florida ,BROWARD,12,011,FL 
33070,Tavernier,Florida ,MONROE,12,087,FL 
33072,Pompano Beach,Florida ,BROWARD,12,011,FL 
33071,Coral Springs,Florida ,BROWARD,12,011,FL 
33076,Pompano Beach,Florida ,BROWARD,12,011,FL 
33075,Coral Springs,Florida ,BROWARD,12,011,FL 
33074,Pompano Beach,Florida ,BROWARD,12,011,FL 
33073,Pompano Beach,Florida ,BROWARD,12,011,FL 
33077,Pompano Beach,Florida ,BROWARD,12,011,FL 
33081,Hollywood,Florida ,BROWARD,12,011,FL 
33082,Pembroke Pines,Florida ,BROWARD,12,011,FL 
33083,Hollywood,Florida ,BROWARD,12,011,FL 
33101,Miami,Florida ,MIAMI-DADE,12,086,FL 
33093,Margate,Florida ,BROWARD,12,011,FL 
33092,Homestead,Florida ,MIAMI-DADE,12,086,FL 
33090,Homestead,Florida ,MIAMI-DADE,12,086,FL 
33097,Coconut Creek,Florida ,BROWARD,12,011,FL 
33084,Hollywood,Florida ,BROWARD,12,011,FL 
33102,Miami,Florida ,MIAMI-DADE,12,086,FL 
33116,Miami,Florida ,MIAMI-DADE,12,086,FL 
33114,Coral Gables,Florida ,MIAMI-DADE,12,086,FL 
33111,Miami,Florida ,MIAMI-DADE,12,086,FL 
33109,Miami Beach,Florida ,MIAMI-DADE,12,086,FL 
33112,Miami,Florida ,MIAMI-DADE,12,086,FL 
33106,Miami,Florida ,MIAMI-DADE,12,086,FL 
33119,Miami Beach,Florida ,MIAMI-DADE,12,086,FL 
33122,Miami,Florida ,MIAMI-DADE,12,086,FL 
33126,Miami,Florida ,MIAMI-DADE,12,086,FL 
33127,Miami,Florida ,MIAMI-DADE,12,086,FL 
33130,Miami,Florida ,MIAMI-DADE,12,086,FL 
33128,Miami,Florida ,MIAMI-DADE,12,086,FL 
33125,Miami,Florida ,MIAMI-DADE,12,086,FL 
33129,Miami,Florida ,MIAMI-DADE,12,086,FL 
33124,Miami,Florida ,MIAMI-DADE,12,086,FL 
33131,Miami,Florida ,MIAMI-DADE,12,086,FL 
33137,Miami,Florida ,MIAMI-DADE,12,086,FL 
33136,Miami,Florida ,MIAMI-DADE,12,086,FL 
33134,Miami,Florida ,MIAMI-DADE,12,086,FL 
33138,Miami,Florida ,MIAMI-DADE,12,086,FL 
33133,Miami,Florida ,MIAMI-DADE,12,086,FL 
33135,Miami,Florida ,MIAMI-DADE,12,086,FL 
33139,Miami Beach,Florida ,MIAMI-DADE,12,086,FL 
33132,Miami,Florida ,MIAMI-DADE,12,086,FL 
33141,Miami Beach,Florida ,MIAMI-DADE,12,086,FL 
33142,Miami,Florida ,MIAMI-DADE,12,086,FL 
33140,Miami Beach,Florida ,MIAMI-DADE,12,086,FL 
33144,Miami,Florida ,MIAMI-DADE,12,086,FL 
33143,Miami,Florida ,MIAMI-DADE,12,086,FL 
33145,Miami,Florida ,MIAMI-DADE,12,086,FL 
33147,Miami,Florida ,MIAMI-DADE,12,086,FL 
33146,Miami,Florida ,MIAMI-DADE,12,086,FL 
33154,Miami Beach,Florida ,MIAMI-DADE,12,086,FL 
33153,Miami,Florida ,MIAMI-DADE,12,086,FL 
33150,Miami,Florida ,MIAMI-DADE,12,086,FL 
33151,Miami,Florida ,MIAMI-DADE,12,086,FL 
33155,Miami,Florida ,MIAMI-DADE,12,086,FL 
33149,Key Biscayne,Florida ,MIAMI-DADE,12,086,FL 
33156,Miami,Florida ,MIAMI-DADE,12,086,FL 
33152,Miami,Florida ,MIAMI-DADE,12,086,FL 
33160,North Miami Beach,Florida ,MIAMI-DADE,12,086,FL 
33161,Miami,Florida ,MIAMI-DADE,12,086,FL 
33162,Miami,Florida ,MIAMI-DADE,12,086,FL 
33164,Miami,Florida ,MIAMI-DADE,12,086,FL 
33158,Miami,Florida ,MIAMI-DADE,12,086,FL 
33163,Miami,Florida ,MIAMI-DADE,12,086,FL 
33157,Miami,Florida ,MIAMI-DADE,12,086,FL 
33165,Miami,Florida ,MIAMI-DADE,12,086,FL 
33173,Miami,Florida ,MIAMI-DADE,12,086,FL 
33168,Miami,Florida ,MIAMI-DADE,12,086,FL 
33169,Miami,Florida ,MIAMI-DADE,12,086,FL 
33172,Miami,Florida ,MIAMI-DADE,12,086,FL 
33170,Miami,Florida ,MIAMI-DADE,12,086,FL 
33166,Miami,Florida ,MIAMI-DADE,12,086,FL 
33167,Miami,Florida ,MIAMI-DADE,12,086,FL 
33174,Miami,Florida ,MIAMI-DADE,12,086,FL 
33179,Miami,Florida ,MIAMI-DADE,12,086,FL 
33175,Miami,Florida ,MIAMI-DADE,12,086,FL 
33177,Miami,Florida ,MIAMI-DADE,12,086,FL 
33182,Miami,Florida ,MIAMI-DADE,12,086,FL 
33180,Miami,Florida ,MIAMI-DADE,12,086,FL 
33176,Miami,Florida ,MIAMI-DADE,12,086,FL 
33178,Miami,Florida ,MIAMI-DADE,12,086,FL 
33181,Miami,Florida ,MIAMI-DADE,12,086,FL 
33184,Miami,Florida ,MIAMI-DADE,12,086,FL 
33183,Miami,Florida ,MIAMI-DADE,12,086,FL 
33185,Miami,Florida ,MIAMI-DADE,12,086,FL 
33189,Miami,Florida ,MIAMI-DADE,12,086,FL 
33186,Miami,Florida ,MIAMI-DADE,12,086,FL 
33187,Miami,Florida ,MIAMI-DADE,12,086,FL 
33188,Miami,Florida ,MIAMI-DADE,12,086,FL 
33190,Miami,Florida ,MIAMI-DADE,12,086,FL 
33191,Miami,Florida ,MIAMI-DADE,12,086,FL 
33192,Miami,Florida ,MIAMI-DADE,12,086,FL 
33193,Miami,Florida ,MIAMI-DADE,12,086,FL 
33196,Miami,Florida ,MIAMI-DADE,12,086,FL 
33198,Miami,Florida ,MIAMI-DADE,12,086,FL 
33194,Miami,Florida ,MIAMI-DADE,12,086,FL 
33195,Miami,Florida ,MIAMI-DADE,12,086,FL 
33197,Miami,Florida ,MIAMI-DADE,12,086,FL 
33199,Miami,Florida ,MIAMI-DADE,12,086,FL 
33206,Miami,Florida ,MIAMI-DADE,12,086,FL 
33222,Miami,Florida ,MIAMI-DADE,12,086,FL 
33231,Miami,Florida ,MIAMI-DADE,12,086,FL 
33233,Miami,Florida ,MIAMI-DADE,12,086,FL 
33238,Miami,Florida ,MIAMI-DADE,12,086,FL 
33239,Miami Beach,Florida ,MIAMI-DADE,12,086,FL 
33242,Miami,Florida ,MIAMI-DADE,12,086,FL 
33234,Miami,Florida ,MIAMI-DADE,12,086,FL 
33243,Miami,Florida ,MIAMI-DADE,12,086,FL 
33245,Miami,Florida ,MIAMI-DADE,12,086,FL 
33247,Miami,Florida ,MIAMI-DADE,12,086,FL 
33255,Miami,Florida ,MIAMI-DADE,12,086,FL 
33257,Miami,Florida ,MIAMI-DADE,12,086,FL 
33265,Miami,Florida ,MIAMI-DADE,12,086,FL 
33266,Miami,Florida ,MIAMI-DADE,12,086,FL 
33261,Miami,Florida ,MIAMI-DADE,12,086,FL 
33256,Miami,Florida ,MIAMI-DADE,12,086,FL 
33269,Miami,Florida ,MIAMI-DADE,12,086,FL 
33280,Miami,Florida ,MIAMI-DADE,12,086,FL 
33296,Miami,Florida ,MIAMI-DADE,12,086,FL 
33301,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33302,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33283,Miami,Florida ,MIAMI-DADE,12,086,FL 
33299,Miami,Florida ,MIAMI-DADE,12,086,FL 
33304,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33303,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33305,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33307,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33308,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33309,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33312,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33311,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33306,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33310,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33313,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33314,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33315,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33316,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33318,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33321,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33320,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33317,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33319,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33323,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33324,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33322,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33325,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33327,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33326,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33329,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33328,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33331,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33332,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33334,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33330,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33335,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33336,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33338,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33337,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33339,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33345,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33340,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33346,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33355,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33349,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33351,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33348,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33359,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33394,Fort Lauderdale,Florida ,BROWARD,12,011,FL 
33401,West Palm Beach,Florida ,PALM BEACH,12,099,FL 
33388,Plantation,Florida ,BROWARD,12,011,FL 
33405,West Palm Beach,Florida ,PALM BEACH,12,099,FL 
33406,West Palm Beach,Florida ,PALM BEACH,12,099,FL 
33402,West Palm Beach,Florida ,PALM BEACH,12,099,FL 
33403,West Palm Beach,Florida ,PALM BEACH,12,099,FL 
33404,West Palm Beach,Florida ,PALM BEACH,12,099,FL 
33408,North Palm Beach,Florida ,PALM BEACH,12,099,FL 
33407,West Palm Beach,Florida ,PALM BEACH,12,099,FL 
33409,West Palm Beach,Florida ,PALM BEACH,12,099,FL 
33410,Palm Beach Gardens,Florida ,PALM BEACH,12,099,FL 
33411,West Palm Beach,Florida ,PALM BEACH,12,099,FL 
33412,West Palm Beach,Florida ,PALM BEACH,12,099,FL 
33412,West Palm Beach,Florida ,PALM BEACH,12,099,FL 
33411,West Palm Beach,Florida ,PALM BEACH,12,099,FL 
33414,Wellington,Florida ,PALM BEACH,12,099,FL 
33413,West Palm Beach,Florida ,PALM BEACH,12,099,FL 
33414,Wellington,Florida ,PALM BEACH,12,099,FL 
33416,West Palm Beach,Florida ,PALM BEACH,12,099,FL 
33415,West Palm Beach,Florida ,PALM BEACH,12,099,FL 
33417,West Palm Beach,Florida ,PALM BEACH,12,099,FL 
33418,Palm Beach Gardens,Florida ,PALM BEACH,12,099,FL 
33422,West Palm Beach,Florida ,PALM BEACH,12,099,FL 
33421,Royal Palm Beach,Florida ,PALM BEACH,12,099,FL 
33420,West Palm Beach,Florida ,PALM BEACH,12,099,FL 
33424,Boynton Beach,Florida ,PALM BEACH,12,099,FL 
33425,Boynton Beach,Florida ,PALM BEACH,12,099,FL 
33426,Boynton Beach,Florida ,PALM BEACH,12,099,FL 
33427,Boca Raton,Florida ,PALM BEACH,12,099,FL 
33419,West Palm Beach,Florida ,PALM BEACH,12,099,FL 
33428,Boca Raton,Florida ,PALM BEACH,12,099,FL 
33429,Boca Raton,Florida ,PALM BEACH,12,099,FL 
33430,Belle Glade,Florida ,PALM BEACH,12,099,FL 
33431,Boca Raton,Florida ,PALM BEACH,12,099,FL 
33434,Boca Raton,Florida ,PALM BEACH,12,099,FL 
33433,Boca Raton,Florida ,PALM BEACH,12,099,FL 
33432,Boca Raton,Florida ,PALM BEACH,12,099,FL 
33435,Boynton Beach,Florida ,PALM BEACH,12,099,FL 
33436,Boynton Beach,Florida ,PALM BEACH,12,099,FL 
33437,Boynton Beach,Florida ,PALM BEACH,12,099,FL 
33438,Canal Point,Florida ,PALM BEACH,12,099,FL 
33441,Deerfield Beach,Florida ,BROWARD,12,011,FL 
33442,Deerfield Beach,Florida ,BROWARD,12,011,FL 
33440,Clewiston,Florida ,HENDRY,12,051,FL 
33443,Deerfield Beach,Florida ,BROWARD,12,011,FL 
33446,Delray Beach,Florida ,PALM BEACH,12,099,FL 
33444,Delray Beach,Florida ,PALM BEACH,12,099,FL 
33445,Delray Beach,Florida ,PALM BEACH,12,099,FL 
33448,Delray Beach,Florida ,PALM BEACH,12,099,FL 
33449,Lake Worth,Florida ,PALM BEACH,12,099,FL 
33454,Greenacres,Florida ,PALM BEACH,12,099,FL 
33458,Jupiter,Florida ,PALM BEACH,12,099,FL 
33455,Hobe Sound,Florida ,MARTIN,12,085,FL 
33460,Lake Worth Beach,Florida ,PALM BEACH,12,099,FL 
33461,Lake Worth,Florida ,PALM BEACH,12,099,FL 
33462,Lake Worth,Florida ,PALM BEACH,12,099,FL 
33459,Lake Harbor,Florida ,PALM BEACH,12,099,FL 
33463,Lake Worth,Florida ,PALM BEACH,12,099,FL 
33464,Boca Raton,Florida ,PALM BEACH,12,099,FL 
33466,Lake Worth,Florida ,PALM BEACH,12,099,FL 
33465,Lake Worth,Florida ,PALM BEACH,12,099,FL 
33468,Jupiter,Florida ,PALM BEACH,12,099,FL 
33467,Lake Worth,Florida ,PALM BEACH,12,099,FL 
33470,Loxahatchee,Florida ,PALM BEACH,12,099,FL 
33469,Jupiter,Florida ,PALM BEACH,12,099,FL 
33471,Moore Haven,Florida ,GLADES,12,043,FL 
33475,Hobe Sound,Florida ,MARTIN,12,085,FL 
33473,Boynton Beach,Florida ,PALM BEACH,12,099,FL 
33472,Boynton Beach,Florida ,PALM BEACH,12,099,FL 
33474,Boynton Beach,Florida ,PALM BEACH,12,099,FL 
33477,Jupiter,Florida ,PALM BEACH,12,099,FL 
33478,Jupiter,Florida ,PALM BEACH,12,099,FL 
33476,Pahokee,Florida ,PALM BEACH,12,099,FL 
33482,Delray Beach,Florida ,PALM BEACH,12,099,FL 
33483,Delray Beach,Florida ,PALM BEACH,12,099,FL 
33481,Boca Raton,Florida ,PALM BEACH,12,099,FL 
33480,Palm Beach,Florida ,PALM BEACH,12,099,FL 
33484,Delray Beach,Florida ,PALM BEACH,12,099,FL 
33488,Boca Raton,Florida ,PALM BEACH,12,099,FL 
33486,Boca Raton,Florida ,PALM BEACH,12,099,FL 
33487,Boca Raton,Florida ,PALM BEACH,12,099,FL 
33496,Boca Raton,Florida ,PALM BEACH,12,099,FL 
33493,South Bay,Florida ,PALM BEACH,12,099,FL 
33498,Boca Raton,Florida ,PALM BEACH,12,099,FL 
33497,Boca Raton,Florida ,PALM BEACH,12,099,FL 
33499,Boca Raton,Florida ,PALM BEACH,12,099,FL 
33503,Balm,Florida ,HILLSBOROUGH,12,057,FL 
33509,Brandon,Florida ,HILLSBOROUGH,12,057,FL 
33508,Brandon,Florida ,HILLSBOROUGH,12,057,FL 
33510,Brandon,Florida ,HILLSBOROUGH,12,057,FL 
33513,Bushnell,Florida ,SUMTER,12,119,FL 
33511,Brandon,Florida ,HILLSBOROUGH,12,057,FL 
33523,Dade City,Florida ,PASCO,12,101,FL 
33521,Coleman,Florida ,SUMTER,12,119,FL 
33514,Center Hill,Florida ,SUMTER,12,119,FL 
33525,Dade City,Florida ,PASCO,12,101,FL 
33524,Crystal Springs,Florida ,PASCO,12,101,FL 
33526,Dade City,Florida ,PASCO,12,101,FL 
33527,Dover,Florida ,HILLSBOROUGH,12,057,FL 
33530,Durant,Florida ,HILLSBOROUGH,12,057,FL 
33537,Lacoochee,Florida ,PASCO,12,101,FL 
33539,Zephyrhills,Florida ,PASCO,12,101,FL 
33534,Gibsonton,Florida ,HILLSBOROUGH,12,057,FL 
33540,Zephyrhills,Florida ,PASCO,12,101,FL 
33538,Lake Panasoffkee,Florida ,SUMTER,12,119,FL 
33541,Zephyrhills,Florida ,PASCO,12,101,FL 
33542,Zephyrhills,Florida ,PASCO,12,101,FL 
33543,Wesley Chapel,Florida ,PASCO,12,101,FL 
33544,Wesley Chapel,Florida ,PASCO,12,101,FL 
33549,Lutz,Florida ,HILLSBOROUGH,12,057,FL 
33548,Lutz,Florida ,HILLSBOROUGH,12,057,FL 
33547,Lithia,Florida ,HILLSBOROUGH,12,057,FL 
33550,Mango,Florida ,HILLSBOROUGH,12,057,FL 
33545,Wesley Chapel,Florida ,PASCO,12,101,FL 
33556,Odessa,Florida ,HILLSBOROUGH,12,057,FL 
33558,Lutz,Florida ,HILLSBOROUGH,12,057,FL 
33559,Lutz,Florida ,HILLSBOROUGH,12,057,FL 
33563,Plant City,Florida ,HILLSBOROUGH,12,057,FL 
33567,Plant City,Florida ,HILLSBOROUGH,12,057,FL 
33564,Plant City,Florida ,HILLSBOROUGH,12,057,FL 
33565,Plant City,Florida ,HILLSBOROUGH,12,057,FL 
33566,Plant City,Florida ,HILLSBOROUGH,12,057,FL 
33569,Riverview,Florida ,HILLSBOROUGH,12,057,FL 
33568,Riverview,Florida ,HILLSBOROUGH,12,057,FL 
33570,Ruskin,Florida ,HILLSBOROUGH,12,057,FL 
33578,Riverview,Florida ,HILLSBOROUGH,12,057,FL 
33572,Apollo Beach,Florida ,HILLSBOROUGH,12,057,FL 
33571,Sun City Center,Florida ,HILLSBOROUGH,12,057,FL 
33574,Saint Leo,Florida ,PASCO,12,101,FL 
33576,San Antonio,Florida ,PASCO,12,101,FL 
33575,Ruskin,Florida ,HILLSBOROUGH,12,057,FL 
33573,Sun City Center,Florida ,HILLSBOROUGH,12,057,FL 
33579,Riverview,Florida ,HILLSBOROUGH,12,057,FL 
33584,Seffner,Florida ,HILLSBOROUGH,12,057,FL 
33586,Sun City,Florida ,HILLSBOROUGH,12,057,FL 
33583,Seffner,Florida ,HILLSBOROUGH,12,057,FL 
